geoid,name,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino
34003001000,"Census Tract 10, Bergen County, New Jersey",6767,151641.0,680000.0,3045.0,5667.0,75.0,0.0,759.0,0.0,0.0,132.0,134.0
34003002100,"Census Tract 21, Bergen County, New Jersey",1522,114545.0,2000001.0,836.0,788.0,141.0,0.0,444.0,0.0,0.0,27.0,122.0
34003002200,"Census Tract 22, Bergen County, New Jersey",5389,90647.0,453800.0,1791.0,3481.0,99.0,9.0,1247.0,0.0,36.0,19.0,504.0
34003002300,"Census Tract 23, Bergen County, New Jersey",5828,112031.0,610000.0,2363.0,3595.0,89.0,37.0,1627.0,0.0,0.0,32.0,448.0
34003003100,"Census Tract 31, Bergen County, New Jersey",4946,76906.0,301900.0,1588.0,1803.0,306.0,0.0,1435.0,0.0,13.0,24.0,1365.0
34003003200,"Census Tract 32, Bergen County, New Jersey",5044,69531.0,322400.0,1417.0,1342.0,186.0,19.0,1882.0,0.0,6.0,64.0,1564.0
34003003300,"Census Tract 33, Bergen County, New Jersey",6638,97957.0,328100.0,1737.0,2437.0,400.0,0.0,2131.0,0.0,0.0,148.0,1522.0
34003003401,"Census Tract 34.01, Bergen County, New Jersey",2958,122650.0,385200.0,941.0,1704.0,109.0,0.0,520.0,0.0,0.0,36.0,589.0
34003003402,"Census Tract 34.02, Bergen County, New Jersey",3827,105776.0,356100.0,1237.0,1937.0,260.0,0.0,733.0,0.0,4.0,122.0,771.0
34003003500,"Census Tract 35, Bergen County, New Jersey",4100,52382.0,340200.0,891.0,886.0,502.0,16.0,1160.0,0.0,0.0,59.0,1493.0
34003004001,"Census Tract 40.01, Bergen County, New Jersey",3372,76979.0,331300.0,537.0,1635.0,145.0,0.0,169.0,0.0,42.0,80.0,1301.0
34003004002,"Census Tract 40.02, Bergen County, New Jersey",4976,78306.0,299700.0,1228.0,1694.0,462.0,0.0,561.0,0.0,20.0,29.0,2210.0
34003005000,"Census Tract 50, Bergen County, New Jersey",6238,84268.0,386200.0,1725.0,4095.0,0.0,9.0,444.0,0.0,23.0,103.0,1564.0
34003006100,"Census Tract 61, Bergen County, New Jersey",7159,63071.0,416900.0,2215.0,4288.0,124.0,0.0,728.0,0.0,71.0,121.0,1827.0
34003006201,"Census Tract 62.01, Bergen County, New Jersey",4416,49883.0,429500.0,1288.0,2307.0,68.0,0.0,602.0,0.0,70.0,74.0,1295.0
34003006202,"Census Tract 62.02, Bergen County, New Jersey",5073,81273.0,405900.0,2501.0,2795.0,145.0,0.0,1398.0,14.0,15.0,106.0,600.0
34003006300,"Census Tract 63, Bergen County, New Jersey",8013,54788.0,412300.0,2105.0,3108.0,297.0,0.0,589.0,0.0,21.0,320.0,3678.0
34003007001,"Census Tract 70.01, Bergen County, New Jersey",3899,100250.0,514100.0,1560.0,2146.0,28.0,8.0,1355.0,0.0,0.0,0.0,362.0
34003007002,"Census Tract 70.02, Bergen County, New Jersey",4751,143780.0,745300.0,1979.0,2482.0,86.0,0.0,2068.0,0.0,16.0,27.0,72.0
34003008000,"Census Tract 80, Bergen County, New Jersey",8745,117164.0,540700.0,3686.0,5641.0,64.0,14.0,2150.0,0.0,0.0,105.0,785.0
34003009100,"Census Tract 91, Bergen County, New Jersey",5007,150139.0,652800.0,2083.0,2961.0,11.0,0.0,1476.0,0.0,0.0,37.0,522.0
34003009200,"Census Tract 92, Bergen County, New Jersey",3446,168371.0,644700.0,1609.0,2728.0,36.0,6.0,547.0,0.0,0.0,59.0,76.0
34003010100,"Census Tract 101, Bergen County, New Jersey",5864,98987.0,364200.0,1832.0,3953.0,95.0,0.0,900.0,0.0,0.0,100.0,816.0
34003010200,"Census Tract 102, Bergen County, New Jersey",4275,75550.0,348600.0,1049.0,2514.0,146.0,26.0,716.0,0.0,0.0,85.0,805.0
34003010300,"Census Tract 103, Bergen County, New Jersey",7649,106750.0,356700.0,2508.0,4640.0,271.0,0.0,1152.0,0.0,0.0,64.0,1522.0
34003011100,"Census Tract 111, Bergen County, New Jersey",4293,68442.0,326100.0,836.0,1969.0,208.0,8.0,401.0,0.0,42.0,145.0,1528.0
34003011200,"Census Tract 112, Bergen County, New Jersey",5077,69310.0,353400.0,900.0,2303.0,471.0,0.0,418.0,0.0,33.0,127.0,1725.0
34003011300,"Census Tract 113, Bergen County, New Jersey",4240,88045.0,343300.0,1041.0,2447.0,150.0,52.0,325.0,0.0,0.0,183.0,1083.0
34003011400,"Census Tract 114, Bergen County, New Jersey",6525,76709.0,375100.0,1490.0,4140.0,274.0,0.0,426.0,34.0,0.0,0.0,1651.0
34003012001,"Census Tract 120.01, Bergen County, New Jersey",5933,70769.0,410500.0,1978.0,2885.0,282.0,0.0,896.0,0.0,0.0,46.0,1824.0
34003012002,"Census Tract 120.02, Bergen County, New Jersey",3303,81033.0,362500.0,1240.0,2137.0,12.0,34.0,629.0,0.0,0.0,118.0,407.0
34003013001,"Census Tract 130.01, Bergen County, New Jersey",6526,117681.0,617000.0,3766.0,2320.0,373.0,0.0,3044.0,23.0,23.0,173.0,570.0
34003013002,"Census Tract 130.02, Bergen County, New Jersey",5472,85288.0,477900.0,2412.0,3249.0,107.0,57.0,1062.0,0.0,0.0,59.0,990.0
34003014000,"Census Tract 140, Bergen County, New Jersey",7621,109613.0,465000.0,2281.0,6091.0,29.0,0.0,569.0,0.0,10.0,166.0,756.0
34003015100,"Census Tract 151, Bergen County, New Jersey",2581,138654.0,895100.0,1233.0,2000.0,148.0,9.0,193.0,0.0,45.0,0.0,186.0
34003015200,"Census Tract 152, Bergen County, New Jersey",5922,72315.0,351200.0,1872.0,1337.0,1842.0,1.0,623.0,0.0,14.0,271.0,1834.0
34003015300,"Census Tract 153, Bergen County, New Jersey",6786,66817.0,299800.0,1111.0,279.0,4125.0,30.0,95.0,0.0,36.0,248.0,1990.0
34003015400,"Census Tract 154, Bergen County, New Jersey",7041,66483.0,309400.0,2299.0,1604.0,1541.0,48.0,1591.0,0.0,19.0,57.0,2203.0
34003015500,"Census Tract 155, Bergen County, New Jersey",5854,112723.0,593900.0,3070.0,3890.0,535.0,38.0,956.0,0.0,0.0,51.0,384.0
34003016000,"Census Tract 160, Bergen County, New Jersey",5405,131936.0,984700.0,2475.0,2713.0,76.0,20.0,2298.0,0.0,0.0,50.0,248.0
34003017100,"Census Tract 171, Bergen County, New Jersey",7129,126265.0,450600.0,3675.0,5712.0,1.0,0.0,689.0,0.0,37.0,38.0,652.0
34003017200,"Census Tract 172, Bergen County, New Jersey",6078,83463.0,354600.0,2008.0,3895.0,164.0,18.0,541.0,0.0,0.0,102.0,1372.0
34003017300,"Census Tract 173, Bergen County, New Jersey",6407,117386.0,389600.0,1960.0,4899.0,74.0,36.0,563.0,0.0,39.0,0.0,796.0
34003017400,"Census Tract 174, Bergen County, New Jersey",5530,108667.0,410100.0,2283.0,4011.0,37.0,4.0,865.0,0.0,0.0,75.0,538.0
34003017500,"Census Tract 175, Bergen County, New Jersey",8061,90527.0,372300.0,2478.0,4890.0,112.0,0.0,1402.0,0.0,0.0,30.0,1627.0
34003018100,"Census Tract 181, Bergen County, New Jersey",7222,49615.0,357800.0,792.0,2232.0,37.0,62.0,190.0,0.0,19.0,61.0,4683.0
34003018200,"Census Tract 182, Bergen County, New Jersey",7092,62347.0,348300.0,1421.0,2149.0,292.0,16.0,549.0,0.0,35.0,324.0,3743.0
34003019102,"Census Tract 191.02, Bergen County, New Jersey",3326,85699.0,242000.0,1615.0,1455.0,40.0,17.0,1592.0,0.0,0.0,51.0,171.0
34003019103,"Census Tract 191.03, Bergen County, New Jersey",4003,65852.0,115200.0,1611.0,1389.0,269.0,29.0,1530.0,0.0,5.0,187.0,594.0
34003019104,"Census Tract 191.04, Bergen County, New Jersey",4030,65972.0,277200.0,1707.0,1463.0,67.0,0.0,2086.0,0.0,0.0,116.0,298.0
34003019202,"Census Tract 192.02, Bergen County, New Jersey",1772,67250.0,380000.0,686.0,572.0,0.0,4.0,624.0,3.0,12.0,56.0,501.0
34003019203,"Census Tract 192.03, Bergen County, New Jersey",3095,54122.0,189700.0,1485.0,1856.0,0.0,0.0,998.0,0.0,0.0,38.0,203.0
34003019204,"Census Tract 192.04, Bergen County, New Jersey",3600,60357.0,253700.0,1723.0,1364.0,95.0,15.0,1611.0,0.0,0.0,108.0,407.0
34003019303,"Census Tract 193.03, Bergen County, New Jersey",5378,64636.0,456700.0,2396.0,1468.0,93.0,0.0,2936.0,0.0,50.0,77.0,754.0
34003019304,"Census Tract 193.04, Bergen County, New Jersey",2672,75208.0,599900.0,674.0,1452.0,5.0,0.0,648.0,0.0,7.0,14.0,546.0
34003019305,"Census Tract 193.05, Bergen County, New Jersey",6614,101969.0,390600.0,3771.0,3454.0,36.0,0.0,2575.0,9.0,0.0,56.0,484.0
34003019306,"Census Tract 193.06, Bergen County, New Jersey",2117,127614.0,759500.0,1158.0,1265.0,42.0,2.0,585.0,0.0,0.0,0.0,223.0
34003020100,"Census Tract 201, Bergen County, New Jersey",4152,143871.0,786400.0,1881.0,3394.0,100.0,5.0,231.0,0.0,20.0,137.0,265.0
34003020200,"Census Tract 202, Bergen County, New Jersey",6658,182763.0,1023600.0,3060.0,5473.0,106.0,0.0,541.0,38.0,0.0,50.0,450.0
34003021100,"Census Tract 211, Bergen County, New Jersey",6869,47112.0,363900.0,808.0,4832.0,99.0,0.0,144.0,6.0,26.0,109.0,1653.0
34003021200,"Census Tract 212, Bergen County, New Jersey",5947,57237.0,333700.0,893.0,3810.0,115.0,0.0,134.0,0.0,0.0,9.0,1879.0
34003021300,"Census Tract 213, Bergen County, New Jersey",4502,50918.0,315900.0,625.0,2828.0,72.0,0.0,187.0,0.0,0.0,188.0,1227.0
34003021400,"Census Tract 214, Bergen County, New Jersey",4668,48419.0,343400.0,770.0,2634.0,335.0,4.0,219.0,0.0,0.0,56.0,1420.0
