Incident Address,Latitude,Longitude,counts
615 WEST 136 STREET,40.82103631315722,-73.95519142883138,1118
622 WEST 136 STREET,40.82107204495206,-73.95532147327381,725
618 WEST 136 STREET,40.82104731868181,-73.95526006866052,505
619 WEST 136 STREET,40.8210610380619,-73.9552492203966,341
611 WEST 136 STREET,40.82101158822346,-73.95513363730912,70
636 WEST 136 STREET,40.821159955514815,-73.95552735631824,51
623 WEST 136 STREET,40.82108576433785,-73.95531062501853,35
626 WEST 136 STREET,40.821096769791424,-73.95537926491838,24
621 WEST 136 STREET,40.82107477426321,-73.9552817282862,22
630 WEST 136 STREET,40.82112149460173,-73.95543705660589,21
627 WEST 136 STREET,40.821110489182615,-73.95536841667095,8
612 WEST 136 STREET,40.82100885896331,-73.95517338226509,7
600 WEST 136 STREET,40.820934682637336,-73.95499639491321,7
616 WEST 136 STREET,40.82103358387716,-73.95523117379976,6
607 WEST 136 STREET,40.82098686326066,-73.9550758458298,6
624 WEST 136 STREET,40.82108577973398,-73.95535036816992,5
614 WEST 136 STREET,40.82102259378252,-73.95520227710318,4
620 WEST 136 STREET,40.82105831016285,-73.95529257838963,4
613 WEST 136 STREET,40.8210253230526,-73.9551625321402,2
625 WEST 136 STREET,40.821099499122475,-73.95533951991834,2
601 WEST 136 STREET,40.82094840199287,-73.95498554661326,2
636 WEST  136 STREET,40.821159955514815,-73.95552735631824,1
622 WEST  136 STREET,40.82107204495206,-73.95532147327381,1
623 WEST  136 STREET,40.82108576433785,-73.95531062501853,1
634 WEST 136 STREET,40.82114622077739,-73.95549846135337,1
603 WEST 136 STREET,40.82096213685925,-73.95501444138638,1
