Loud Music/Party,1386763
HEAT,871935
ENTIRE BUILDING,600405
Street Light Out,598961
No Access,520955
Pothole,502902
Banging/Pounding,404723
APARTMENT ONLY,318488
CEILING,308786
Loud Talking,238644
MOLD,210186
FLOOR,203661
Controller,197927
VERMIN,187360
Partial Access,174149
Posted Parking Sign Violation,170013
WATER-LEAKS,169571
WALLS,168471
Driver Complaint,167105
PESTS,166024
With License Plate,164528
15 Street Cond/Dump-Out/Drop-Off,162354
Noise: Construction Before/After Hours (NM1),155885
Illegal Conversion Of Residential Building/Space,150145
14 Derelict Vehicles,149493
Blocked Hydrant,140258
BASIN/SINK,134055
WALL,133620
Graffiti,132740
For One Address,121101
Sewer Backup (Use Comments) (SA),117211
Rat Sighting,112043
Leak (Use Comments) (WA2),105659
Request Large Bulky Item Collection,103598
Blocked Sidewalk,96383
Branch or Limb Has Fallen Down,95209
Commercial Overnight Parking,93791
WINDOWS,89729
Car/Truck Music,88526
Cave-in,84933
1 Missed Collection,81926
Hydrant Running Full (WA4),77790
DOORS,77186
No Receipt,74851
E3 Dirty Sidewalk,73687
DOOR,73048
Catch Basin Clogged/Flooding (Use Comments) (SC),72519
Sidewalk Violation,71832
12 Dead Animals,70898
Elevator - Defective/Not Working,69751
Hydrant Running (WC3),68379
HEAVY FLOW,67746
Dirty Water (WE),66160
Broken Sidewalk,65111
TOILET,63820
Trees and Sidewalks Program,63570
RADIATOR,62583
Medicaid,62243
Coin or Card Did Not Register,59933
LIGHTING,58834
Failed Street Repair,58406
WINDOW FRAME,57751
"Noise, Barking Dog (NR5)",57664
Dead/Dying Tree,57520
SLOW LEAK,56628
Condition Attracting Rodents,55792
GARBAGE/RECYCLING STORAGE,53674
Noise: Construction Equipment (NC1),53213
WATER SUPPLY,52821
Other (complaint details),52238
WATER-SUPPLY,51724
Defective Hardware,51310
E15 Illegal Postering,51213
Branch Cracked and Will Fall,50963
E3A Dirty Area/Alleyway,49281
ELECTRIC-SUPPLY,48236
Entire Tree Has Fallen Down,47494
Double Parked Blocking Traffic,47378
