GEOID,name,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,total_population00,median_income00,median_home_value00,educational_attainment_00,white_alone00,black_alone00,native00,asian00,native_hawaiian_pacific_islander00,hispanic_or_latino00
34003001000,"Census Tract 10, Bergen County, New Jersey",6767,151641.0,680000.0,3045.0,5667.0,75.0,0.0,759.0,0.0,0.0,132.0,134.0,6683.181012,105711.9486,414634.6781,2726.303365,6034.576265,26.95911483,4.989668536,435.9836607,0.0,169.6651947
34003002100,"Census Tract 21, Bergen County, New Jersey",1522,114545.0,2000001.0,836.0,788.0,141.0,0.0,444.0,0.0,0.0,27.0,122.0,2183.0,130740.0,1000001.0,961.0,1647.0,37.0,6.0,435.0,0.0,55.0
34003002200,"Census Tract 22, Bergen County, New Jersey",5389,90647.0,453800.0,1791.0,3481.0,99.0,9.0,1247.0,0.0,36.0,19.0,504.0,4851.0,74423.0,251500.0,1023.0,3889.0,56.0,3.0,657.0,0.0,230.0
34003002300,"Census Tract 23, Bergen County, New Jersey",5828,112031.0,610000.0,2363.0,3595.0,89.0,37.0,1627.0,0.0,0.0,32.0,448.0,5751.0,92447.0,340800.0,1669.0,4356.0,70.0,1.0,1122.0,0.0,172.0
34003003100,"Census Tract 31, Bergen County, New Jersey",4946,76906.0,301900.0,1588.0,1803.0,306.0,0.0,1435.0,0.0,13.0,24.0,1365.0,5057.0,65750.0,179700.0,1021.0,2880.0,260.0,10.0,1067.0,0.0,816.0
34003003200,"Census Tract 32, Bergen County, New Jersey",5044,69531.0,322400.0,1417.0,1342.0,186.0,19.0,1882.0,0.0,6.0,64.0,1564.0,4484.0,46330.0,168500.0,778.0,2377.0,292.0,9.0,791.0,0.0,975.0
34003003300,"Census Tract 33, Bergen County, New Jersey",6638,97957.0,328100.0,1737.0,2437.0,400.0,0.0,2131.0,0.0,0.0,148.0,1522.0,6679.640766,69775.93661,186014.5825,1408.602177,3785.643589,375.8935835,28.99160898,1421.099592,0.0,1034.0186210000004
34003003401,"Census Tract 34.01, Bergen County, New Jersey",2958,122650.0,385200.0,941.0,1704.0,109.0,0.0,520.0,0.0,0.0,36.0,589.0,2536.0,79032.0,189000.0,659.0,1662.0,107.0,6.0,424.0,0.0,317.0
34003003402,"Census Tract 34.02, Bergen County, New Jersey",3827,105776.0,356100.0,1237.0,1937.0,260.0,0.0,733.0,0.0,4.0,122.0,771.0,3393.0,67000.0,190200.0,927.0,1945.0,235.0,8.0,797.0,1.0,389.0
34003003500,"Census Tract 35, Bergen County, New Jersey",4100,52382.0,340200.0,891.0,886.0,502.0,16.0,1160.0,0.0,0.0,59.0,1493.0,4101.0,51548.0,199800.0,964.0,1519.0,580.0,21.0,1001.0,0.0,943.0
34003004001,"Census Tract 40.01, Bergen County, New Jersey",3372,76979.0,331300.0,537.0,1635.0,145.0,0.0,169.0,0.0,42.0,80.0,1301.0,3251.999895,59813.00135,169300.0054,619.7289429,2052.753418,185.6821442,4.730754852,274.3837891,0.394229591,693.4498291
34003004002,"Census Tract 40.02, Bergen County, New Jersey",4976,78306.0,299700.0,1228.0,1694.0,462.0,0.0,561.0,0.0,20.0,29.0,2210.0,4997.000105,59812.99912000001,169299.9965,952.2710571,3154.246582,285.3178711,7.269245147999999,421.6162109,0.605770409,1065.550171
34003005000,"Census Tract 50, Bergen County, New Jersey",6238,84268.0,386200.0,1725.0,4095.0,0.0,9.0,444.0,0.0,23.0,103.0,1564.0,5917.0,55058.0,216800.0,905.0,4970.0,72.0,7.0,379.0,1.0,473.0
34003006100,"Census Tract 61, Bergen County, New Jersey",7159,63071.0,416900.0,2215.0,4288.0,124.0,0.0,728.0,0.0,71.0,121.0,1827.0,6506.0,45272.0,202000.0,1364.0,4630.0,78.0,5.0,818.0,1.0,886.0
