date_only,Resolution Description,count
2015-01-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-01-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-01-04,The Police Department responded to the complaint and took action to fix the condition.,1
2015-01-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-01-10,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-01-11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-01-14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-01-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-01-20,The Police Department responded to the complaint and took action to fix the condition.,1
2015-01-21,The Police Department responded to the complaint and took action to fix the condition.,1
2015-01-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-01-23,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2015-01-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-01-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-01-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-02-01,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2015-02-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-02-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-02-08,The Police Department responded and upon arrival those responsible for the condition were gone.,2
2015-02-10,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-02-11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-02-12,The Police Department responded to the complaint and took action to fix the condition.,1
2015-02-14,The Police Department responded to the complaint and determined that police action was not necessary.,1
2015-02-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-02-20,The Police Department responded to the complaint and took action to fix the condition.,1
2015-02-22,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2015-02-22,The Police Department responded to the complaint and determined that police action was not necessary.,2
2015-02-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-02-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-02-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-02-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-02-28,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2015-03-01,The Police Department responded to the complaint and took action to fix the condition.,1
2015-03-01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-03-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-03-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-03-04,The Police Department responded to the complaint and took action to fix the condition.,1
2015-03-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-03-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-03-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-03-08,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2015-03-18,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-03-19,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2015-03-21,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2015-03-22,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2015-03-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-03-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-03-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-03-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-03-31,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2015-04-03,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2015-04-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-04-04,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2015-04-04,The Police Department responded to the complaint and took action to fix the condition.,4
2015-04-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-04-05,The Police Department responded to the complaint and took action to fix the condition.,1
2015-04-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-04-05,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2015-04-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-04-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-04-10,The Police Department responded to the complaint and took action to fix the condition.,1
2015-04-12,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2015-04-14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-04-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-04-16,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-04-16,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2015-04-17,The Police Department responded to the complaint and took action to fix the condition.,1
2015-04-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2015-04-21,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-04-22,The Police Department responded to the complaint and determined that police action was not necessary.,1
2015-04-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-04-25,The Police Department responded to the complaint and took action to fix the condition.,1
2015-04-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-04-26,The Police Department responded to the complaint and took action to fix the condition.,1
2015-04-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-05-01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-05-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-05-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-05-04,The Police Department responded to the complaint and took action to fix the condition.,5
2015-05-06,The Police Department responded to the complaint and took action to fix the condition.,3
2015-05-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-05-08,The Police Department responded to the complaint and determined that police action was not necessary.,2
2015-05-08,The Police Department responded to the complaint and took action to fix the condition.,1
2015-05-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2015-05-09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-05-10,The Police Department issued a summons in response to the complaint.,1
2015-05-10,The Police Department responded to the complaint and took action to fix the condition.,2
2015-05-10,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2015-05-11,The Police Department responded to the complaint and took action to fix the condition.,3
