index,Resolution Description
The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1739
The Police Department responded to the complaint and took action to fix the condition.,803
The Police Department responded to the complaint and determined that police action was not necessary.,265
The Police Department reviewed your complaint and provided additional information below.,107
The Police Department responded and upon arrival those responsible for the condition were gone.,74
Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,46
The Police Department issued a summons in response to the complaint.,30
The Police Department responded to the complaint but officers were unable to gain entry into the premises.,26
Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,25
This complaint does not fall under the Police Department's jurisdiction.,2
The Department of Health and Mental Hygiene has received and processed your complaint.  The facility will receive an inspection from the Bureau of Food Safety and Community Sanitation.  Inspection results are not published.,1
"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",1
The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,1
Your complaint has been received by the Police Department and additional information will be available later.,1
The Department of Buildings investigated this complaint and determined that no further action was necessary.,1
The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,1
The Department of Buildings investigated this complaint and referred it to the Office of Midtown Enforcement for further action.,1
