GEOID,name,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,total_population00,median_income00,median_home_value00,educational_attainment_00,white_alone00,black_alone00,native00,asian00,native_hawaiian_pacific_islander00,hispanic_or_latino00,educational_attainment_pct,educational_attainment_pct00,educational_attainment_change,home_pct_change,has_pop_500+_2000,has_pop_500+_2016,median_40th_home_2000,median_40th_income_2000,educational_is_upper3rd,median_home_higher,median_home_top_third,gentrified,pct_white_alone_change,pct_white_alone_2016,pct_black_alone_change,pct_black_alone_2016,pct_native_alone_change,pct_native_alone_2016,pct_asian_alone_change,pct_asian_alone_2016,pct_hispanic_or_latino_alone_change,pct_hispanic_or_latino_alone_2016,pct_native_hawaiian_pacific_islander_change,pct_native_hawaiian_pacific_islander_2016,low_population,eligible_for_gentrification,eligible_not_gentrified_highpop,not_eligible_highpop
36005000100,"Census Tract 1, Bronx County, New York",7503,,,76.0,510.0,4496.0,14.0,135.0,0.0,34.0,74.0,2240.0,12780.0,,,0.0,1091.0,7747.0,17.0,64.0,0.0,3443.0,1.012928162068506,0.0,1.012928162068506,,True,True,False,False,False,False,False,False,-1.7394951252675757,6.797281087564974,-0.6954557770006247,59.92269758763161,0.09355569196421587,0.18659202985472478,0.3522096638652833,1.7992802878848462,2.9141926953788158,29.854724776755965,0.0,0.0,False,False,False,True
36005000200,"Census Tract 2, Bronx County, New York",5251,70893.0,394800.0,615.0,93.0,950.0,0.0,147.0,0.0,125.0,0.0,3936.0,3545.0,42539.0,167900.0,176.0,209.0,807.0,8.0,25.0,0.0,2464.0,11.712054846695867,4.964739069111425,6.747315777584443,0.40460992907801424,True,True,True,True,False,True,True,False,-4.124536423849953,1.7710912207198628,-4.672664942052812,18.091792039611505,-0.0733180247217334,0.0,-0.22911882725541705,2.799466768234622,5.450804051293616,74.95715101885355,0.0,0.0,False,True,True,False
36005000400,"Census Tract 4, Bronx County, New York",5980,76667.0,353500.0,972.0,243.0,1778.0,19.0,34.0,0.0,24.0,33.0,3868.0,3314.0,39013.0,168800.0,229.0,174.0,738.0,9.0,85.0,0.0,2255.0,16.254180602006688,6.910078455039227,9.344102146967462,0.33148514851485156,True,True,True,True,True,True,False,False,-1.1869074747246398,4.063545150501673,7.463280336991339,29.732441471571907,-0.12107346354676521,0.3177257525083612,-1.1434716001638938,0.5685618729096991,-3.362384774837878,64.68227424749163,0.0,0.0,False,True,True,False
36005001600,"Census Tract 16, Bronx County, New York",6056,31540.0,376400.0,358.0,142.0,1776.0,0.0,0.0,0.0,97.0,0.0,4041.0,5237.0,24552.0,186800.0,351.0,250.0,1625.0,25.0,56.0,0.0,3250.0,5.911492734478204,6.702310483101012,-0.7908177486228087,0.30520722635494163,True,True,False,True,False,True,False,False,-2.4289433809680077,2.344782034346103,-1.7029272206777861,29.326287978863935,-0.06455880309019568,0.0,-0.1446117189220385,0.0,4.668782282554609,66.72721268163805,0.0,0.0,False,False,False,True
36005001900,"Census Tract 19, Bronx County, New York",2682,39130.0,374400.0,370.0,195.0,875.0,0.0,50.0,0.0,69.0,44.0,1449.0,1584.0,22771.9156,116340.4762,37.0,91.0,471.0,9.0,15.0,0.0,987.0,13.795674869500372,2.335858585858586,11.459816283641786,0.5649661680555556,True,True,True,True,True,True,True,True,1.5257440173547563,7.270693512304251,2.890058301132129,32.62490678598061,-0.2326113483831605,0.0,-0.3876855806386008,1.864280387770321,-8.283760423022159,54.0268456375839,0.0,0.0,False,True,False,False
36005002000,"Census Tract 20, Bronx County, New York",9131,17083.0,378500.0,597.0,128.0,3135.0,165.0,243.0,0.0,0.0,0.0,5603.0,9068.0,14691.0,211500.0,302.0,130.0,3873.0,14.0,69.0,0.0,4940.0,6.538166684919505,3.330392589325099,3.2077740955944054,0.21770145310435932,True,True,False,True,False,True,False,False,-0.03179472131780625,1.4018179826963093,-8.37704191652,34.333588873069765,-0.0010652185748805387,1.807030993319461,-0.005250005833339788,2.661263826525025,6.88510909939658,61.362391851932976,0.0,0.0,False,False,False,True
36005002300,"Census Tract 23, Bronx County, New York",4824,16503.0,,140.0,10.0,1744.0,95.0,0.0,0.0,0.0,0.0,3028.0,4338.0,14112.0,187500.0,152.0,50.0,1542.0,17.0,9.0,0.0,2712.0,2.902155887230514,3.503918856615952,-0.601762969385438,,True,True,False,True,False,False,False,False,-0.9453080379568273,0.20729684908789386,0.6062357644694956,36.152570480928695,-0.039481018145785585,1.9693200663349917,-0.020901715488945344,0.0,0.25219683050858777,62.76948590381426,0.0,0.0,False,False,False,True
36005002400,"Census Tract 24, Bronx County, New York",123,,,65.0,58.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,52.84552845528455,,,,False,False,False,False,False,False,False,False,,47.15447154471545,,52.84552845528455,,0.0,,0.0,,0.0,,0.0,True,False,False,False
36005002500,"Census Tract 25, Bronx County, New York",5651,21060.0,475000.0,313.0,91.0,1011.0,0.0,146.0,0.0,0.0,7.0,4396.0,5109.0,12221.0,92400.0,90.0,40.0,974.0,10.0,32.0,0.0,4038.0,5.538842682711024,1.7615971814445097,3.7772455012665147,0.7276631578947368,True,True,True,True,False,True,True,False,0.8274023734369199,1.6103344540789242,-1.1737573386460731,17.89063882498673,-0.018773190041937976,0.0,-0.0600742081342015,2.583613519731021,-1.245452220689998,77.79154132012033,0.0,0.0,False,True,True,False
36005002701,"Census Tract 27.01, Bronx County, New York",3034,18409.0,,159.0,0.0,950.0,0.0,0.0,0.0,20.0,0.0,2064.0,3033.0,12898.0,187500.0,161.0,14.0,1033.0,2.0,3.0,0.0,1967.0,5.240606460118655,5.30827563468513,-0.06766917456647548,,True,True,False,True,False,False,False,False,-0.46158918562479395,0.0,-2.7468881634040514,31.31179960448253,-2.1734117413352294e-05,0.0,-3.260117612001456e-05,0.0,3.1757240340869117,68.02900461437046,0.0,0.0,False,False,False,True
36005002702,"Census Tract 27.02, Bronx County, New York",4684,16000.0,437100.0,187.0,45.0,1403.0,55.0,0.0,0.0,0.0,0.0,3236.0,4736.0,12654.0,148400.0,77.0,54.0,1112.0,10.0,9.0,0.0,3547.0,3.9923142613151152,1.6258445945945945,2.366469666720521,0.5246854266758179,True,True,True,True,False,True,True,False,-0.17948536709211327,0.9607173356105894,6.473301867195975,29.953031596925705,0.002344092598148939,1.1742100768573869,0.0021096833383340563,0.0,-5.808174608211971,69.0862510674637,0.0,0.0,False,True,True,False
36005002800,"Census Tract 28, Bronx County, New York",5350,49180.0,254700.0,791.0,38.0,3031.0,0.0,37.0,0.0,20.0,215.0,2009.0,5718.0,34234.0,145800.0,522.0,70.0,4448.0,25.0,14.0,2.0,1155.0,14.785046728971963,9.12906610703043,5.6559806219415325,0.19858657243816255,True,True,True,True,False,True,False,False,-0.5139238933945273,0.7102803738317757,-21.135231258560438,56.65420560747664,0.030073909902488594,0.0,0.01684138954539366,0.6915887850467289,17.352031459924884,37.55140186915888,-0.03497726477789437,0.0,False,True,True,False
